Rank,Address,Address_Nametag,Quantity,Percentage
"151","0x0791dc5024464ce456274aaa2445d9211b05b950","","3","0.1127%"
"152","0x0adea5cee1d2375a413106306109ce68f90fe013","","3","0.1127%"
"153","0x107ce8d7cbd0a91d4c857ecf12e90325012eede9","","3","0.1127%"
"154","0x10ad2f19fc096f196f15f8cad987e5576adee9bc","cubanb.eth","3","0.1127%"
"155","0x116b33a970461812ddc6315f7083978804207002","","3","0.1127%"
"156","0x1875ad21ce890eaabf31735f27bfc3d3eedb6a57","","3","0.1127%"
"157","0x24bb3fbba92b9697487b9ce7e216c03a7e6a38ce","shaggycbw.eth","3","0.1127%"
"158","0x2549c3e55017140eaba0b7a752637195b88f1dcb","llcubking.eth","3","0.1127%"
"159","0x2cecf610640f9e922363ce51d63244dba09a2111","ob89p13.eth","3","0.1127%"
"160","0x38f55f77ce4087e1c3fbf4873fec69f2a2c2037e","eyequeen.eth","3","0.1127%"
"161","0x44900d2dcfa104bbd139544bb451b26bf7866031","whatstheplay.eth","3","0.1127%"
"162","0x46f35e0d6f6ed6e7195206b9d0f185bd807eb6bc","","3","0.1127%"
"163","0x4b543dd4ac374f8642b993201a697f29c46d1696","","3","0.1127%"
"164","0x539d1bd89845de8c3dc75554eb22d1d85de58b5d","","3","0.1127%"
"165","0x56c45638e4b02bbdb6c2b38ead7423d09e651c1d","","3","0.1127%"
"166","0x5f3a579a606add63ffd4d3250cddc5298e7d9184","robofedor.eth","3","0.1127%"
"167","0x62b0184f1c852601bf57df64eba15d54f1c2db2b","vv23-ct.eth","3","0.1127%"
"168","0x69452ff448f35e47500ed9436a553c8d7080786f","","3","0.1127%"
"169","0x74cfc268a13866f5d7245affcfe0ee939def3fda","","3","0.1127%"
"170","0x7b9f807f23686e8d5f9fd951fef545576932fe4a","zoloz.eth","3","0.1127%"
"171","0x8dd6390be6dc732c92b161b9793a3948b56c0126","","3","0.1127%"
"172","0x98d104574a7802bb87ea6a2eda1cadce3d9eddc1","mooods.eth","3","0.1127%"
"173","0x9b0f18b6e755238e7a2270779c5b146d48eaa48d","","3","0.1127%"
"174","0xa6661dd063400e922f9749eb1cd972bb9529a8fa","","3","0.1127%"
"175","0xa991eaa6b029cb537022c8e97f015b7c5f4085b3","luckyshot27.eth","3","0.1127%"
"176","0xad5e2343950c305b2e942266d2cb8eb633d9f7ac","jessthemess.eth","3","0.1127%"
"177","0xbd541d316fd79f3e2cba7bad296dd7d4991e8cc9","","3","0.1127%"
"178","0xc33f5b1bd579fbd653803ad22c406b105d51a094","","3","0.1127%"
"179","0xc777c81c4d9b784fea3b5e2a4a1fec74ebcf11ac","","3","0.1127%"
"180","0xcffa63de5256370664b8ad9b1a99a97583845de0","","3","0.1127%"
"181","0xd5124ea6efbec413a77d54a6954256490acd8aaf","","3","0.1127%"
"182","0xe4e4422dcdb9f8827111e3db7c9a647d2efcbbfb","ellampo.eth","3","0.1127%"
"183","0xea49d8d714b0d04755b971e1aa739ae474808d47","","3","0.1127%"
"184","0xf2a78bbaf067a0f42dec4972dc8ae055be387a12","","3","0.1127%"
"185","0xf4516664d159973fd7b254801a10a51ab2db0c3c","","3","0.1127%"
"186","0xf5a72bd95f4e18a114438259ef40d1551090eea3","","3","0.1127%"
"187","0xfdaa3c0d61dd8160767fa110fdbbf54978e20b36","","3","0.1127%"
"188","0xfe5b024e4abb4091c09ae2aac39181bedf162d02","","3","0.1127%"
"189","0x010fdf27afe8ff560fafff04df26dbb0a23793b7","","2","0.0752%"
"190","0x0922f6c70f1bd72a095fb50b6662617c0ac571c6","","2","0.0752%"
"191","0x0971ccf9d28d09d64411d47cdaf210b6e5826731","","2","0.0752%"
"192","0x0a66f418d9b49966142d17873c77d292e89bab7a","valmor.eth","2","0.0752%"
"193","0x0b82d866819a8b214234937401a9a5be31a84538","","2","0.0752%"
"194","0x121e2f90f0a44db9629a90c9f8386bd5efe68630","","2","0.0752%"
"195","0x136d36a664941f76d0b7444461e208bc7159398a","tastycakes.eth","2","0.0752%"
"196","0x1afc5d060675e9d3087c88aa4c8a2301ff83c162","","2","0.0752%"
"197","0x1c010ece2c36e590dceed96a99275dd55c48a8a0","cesos.eth","2","0.0752%"
"198","0x1c932e484186cb6c86633ad1627cfab28c807b88","cryptohawkvault.eth","2","0.0752%"
"199","0x249b663cb702aa624d18ac260e168434d38c1ea1","","2","0.0752%"
"200","0x26cb75e05129e3a3897b23081b158202088de211","etcnft.eth","2","0.0752%"
