Rank,Address,Address_Nametag,Quantity,Percentage
"251","0x165a23446b6b84ce2ac537ece4e7af09f8bc8432","","1","0.0376%"
"252","0x181df53bf7063206be87e5bdf167715a7b6409f3","","1","0.0376%"
"253","0x19b9349b4e73bd6301ba5c9cfd8cee61ad10ae60","","1","0.0376%"
"254","0x1b2a83a0ddef7797f776b08c0546a457e28c3002","*2️⃣🆒️.eth","1","0.0376%"
"255","0x1b6253c6f6b89627e3e47163d18c8168a58585fb","","1","0.0376%"
"256","0x1c1b149c2f13faaba1d96960ced9921139d0a925","","1","0.0376%"
"257","0x1c29fed7470938f31d21eaccb89ecea1d779684f","cryptojeweler.eth","1","0.0376%"
"258","0x1cac58d38ded89223724306719034155316e1216","","1","0.0376%"
"259","0x1ded4219a88b13199ccd8e713dd6de50eec86cbc","interimpulse.eth","1","0.0376%"
"260","0x1e42b9988d37819d3cbda67132cd258b51666ad9","","1","0.0376%"
"261","0x1f64d02ed888b376173a4f4c531c62dca85c6394","","1","0.0376%"
"262","0x28a02c426cf8b85e40338cfba111004774e806ad","","1","0.0376%"
"263","0x29d128aba6746496b654f2d6d8ccf52f0bb6fb71","mrdirge.eth","1","0.0376%"
"264","0x2a4b674230875d7d80fd758ba49aa1b09b3a902e","","1","0.0376%"
"265","0x2b18c74560491529b4c1c45578b38197ecb00c9e","","1","0.0376%"
"266","0x2c224145be1d5762e01a8784f44478397255a6df","","1","0.0376%"
"267","0x2dd534dd4949ccdbb301d29b15d8b86111ee4ae1","marcus124.eth","1","0.0376%"
"268","0x2f43ccb5821425c1782e51bd3b4ad15141f2a16b","","1","0.0376%"
"269","0x2f99f21476d0706070443803a688ecd6c60fec9f","atrex.eth","1","0.0376%"
"270","0x3051e850d02c415a9c90c60e934f256d61a3ac43","","1","0.0376%"
"271","0x3080f1b7472ca4353c2eb97db26fba0e9257307e","","1","0.0376%"
"272","0x3202f8379511c61bd2c24e0e166ae62c052f8bc9","","1","0.0376%"
"273","0x342dabaeb97e9ce07a54d89c91e2a6b7282be220","","1","0.0376%"
"274","0x36662542a79e34730dadb416928b33ab8ac881e3","","1","0.0376%"
"275","0x375c1772367ce248d104ced2ee504b7fb4ccf12e","","1","0.0376%"
"276","0x3b8609a70b2e12fb5edc339372055545fb9cf20b","","1","0.0376%"
"277","0x3c821bb57ea467d6a0fccce2c853c8c4117bca84","mayccouple.eth","1","0.0376%"
"278","0x3faa3488c121042ebb51b06ec8b481fee7b7723c","","1","0.0376%"
"279","0x402f513b818b54bf8c0842e56317f593fdb76d5a","kingskipper.eth","1","0.0376%"
"280","0x4236643dd222ad864dd20ed48a90f8923837a0ea","","1","0.0376%"
"281","0x4449020dfe1d58e427295e8fbc0c65500dc44dda","","1","0.0376%"
"282","0x4bda8c8503156cedb900297258c6ac572ae45bf0","","1","0.0376%"
"283","0x4fef66c8e3988e73f85ee941bb63cb5bf44d942b","","1","0.0376%"
"284","0x5023a1210ec3af12d98106c5f341d7edab4e9755","","1","0.0376%"
"285","0x5043144f14a4c726461d38ea862959c72700bc27","97nuel.eth","1","0.0376%"
"286","0x5178a5c0bc4b27979e1ae2bf802fb7bb775c060a","","1","0.0376%"
"287","0x51e0077312085e14c684a6e1f406256f077a7b96","","1","0.0376%"
"288","0x53eb9c9d97eb817106f14612bbfd79b79df06bf9","","1","0.0376%"
"289","0x5638d2812b835d8cc7b87abdabc6694305da48d4","","1","0.0376%"
"290","0x5dd14f097a1f3383f90f55a806bea8f1c844a0b2","","1","0.0376%"
"291","0x5e74f0931c9ed3de81f845e89dba785dec7daaba","","1","0.0376%"
"292","0x5e8019c59937916174706907f64f9e33c7b4bee5","","1","0.0376%"
"293","0x5f75a77d405d45eeeb242f7d7b4634fa1c4bdde6","","1","0.0376%"
"294","0x60266d44d61dd443497dbea5d1abbf720cbe5879","","1","0.0376%"
"295","0x618f98ef874867d6582e97115b32ef188ade083f","","1","0.0376%"
"296","0x625a19573f622d7a055251c03a79e8774dac54f4","","1","0.0376%"
"297","0x62e20f5dda06d47a4ee5a96f8669a09fdf639abf","walkernftn.eth","1","0.0376%"
"298","0x63194eead6663d1b5926d46c2a9a621f21ec4df3","","1","0.0376%"
"299","0x6405b55bbe6f333ebce7cf515266dc7455850e2f","","1","0.0376%"
"300","0x68e1b9cc39986b77f0cf56c094625985be350c38","","1","0.0376%"
